TEAM1,TEAM2,DIFF
2024CONNECTICUT,2024STETSON,39.0
2024FLORIDAATLANTIC,2024NORTHWESTERN,-12.0
2024SANDIEGOST,2024UAB,4.0
2024AUBURN,2024YALE,-2.0
2024BYU,2024DUQUESNE,-4.0
2024ILLINOIS,2024MOREHEADST,16.0
2024WASHINGTONST,2024DRAKE,5.0
2024IOWAST,2024SOUTHDAKOTAST,17.0
2024NORTHCAROLINA,2024WAGNER,28.0
2024MISSISSIPPIST,2024MICHIGANST,-18.0
2024SAINTMARYS,2024GRANDCANYON,-9.0
2024ALABAMA,2024COLLEGEOFCHARLESTON,13.0
2024CLEMSON,2024NEWMEXICO,21.0
2024BAYLOR,2024COLGATE,25.0
2024DAYTON,2024NEVADA,3.0
2024ARIZONA,2024LONGBEACHST,20.0
2024HOUSTON,2024LONGWOOD,40.0
2024NEBRASKA,2024TEXASAM,-15.0
2024WISCONSIN,2024JAMESMADISON,-11.0
2024DUKE,2024VERMONT,17.0
2024TEXASTECH,2024NORTHCAROLINAST,-13.0
2024KENTUCKY,2024OAKLAND,-4.0
2024FLORIDA,2024COLORADO,-2.0
2024MARQUETTE,2024WESTERNKENTUCKY,18.0
2024PURDUE,2024GRAMBLINGST,28.0
2024UTAHST,2024TCU,16.0
2024GONZAGA,2024MCNEESEST,21.0
2024KANSAS,2024SAMFORD,4.0
2024SOUTHCAROLINA,2024OREGON,-14.0
2024CREIGHTON,2024AKRON,17.0
2024TEXAS,2024COLORADOST,12.0
2024TENNESSEE,2024SAINTPETERS,34.0
2024CONNECTICUT,2024NORTHWESTERN,17.0
2024SANDIEGOST,2024YALE,28.0
2024DUQUESNE,2024ILLINOIS,-26.0
2024WASHINGTONST,2024IOWAST,-11.0
2024NORTHCAROLINA,2024MICHIGANST,16.0
2024GRANDCANYON,2024ALABAMA,-11.0
2024CLEMSON,2024BAYLOR,8.0
2024DAYTON,2024ARIZONA,-10.0
2024HOUSTON,2024TEXASAM,5.0
2024JAMESMADISON,2024DUKE,-38.0
2024NORTHCAROLINAST,2024OAKLAND,6.0
2024COLORADO,2024MARQUETTE,-4.0
2024PURDUE,2024UTAHST,39.0
2024GONZAGA,2024KANSAS,21.0
2024OREGON,2024CREIGHTON,-13.0
2024TEXAS,2024TENNESSEE,-4.0
2024CONNECTICUT,2024SANDIEGOST,30.0
2024ILLINOIS,2024IOWAST,3.0
2024NORTHCAROLINA,2024ALABAMA,-2.0
2024CLEMSON,2024ARIZONA,5.0
2024HOUSTON,2024DUKE,-3.0
2024NORTHCAROLINAST,2024MARQUETTE,9.0
2024PURDUE,2024GONZAGA,12.0
2024CREIGHTON,2024TENNESSEE,-7.0
2024CONNECTICUT,2024ILLINOIS,25.0
2024ALABAMA,2024CLEMSON,7.0
2024DUKE,2024NORTHCAROLINAST,-12.0
2024PURDUE,2024TENNESSEE,6.0
2024CONNECTICUT,2024ALABAMA,14.0
2024NORTHCAROLINAST,2024PURDUE,-13.0
2024CONNECTICUT,2024PURDUE,15.0
2023ALABAMA,2023TEXASAMCORPUSCHRIS,21.0
2023MARYLAND,2023WESTVIRGINIA,2.0
2023SANDIEGOST,2023COLLEGEOFCHARLESTON,6.0
2023VIRGINIA,2023FURMAN,-1.0
2023CREIGHTON,2023NORTHCAROLINAST,9.0
2023BAYLOR,2023UCSANTABARBARA,18.0
2023MISSOURI,2023UTAHST,11.0
2023ARIZONA,2023PRINCETON,-4.0
2023PURDUE,2023FAIRLEIGHDICKINSON,-5.0
2023MEMPHIS,2023FLORIDAATLANTIC,-1.0
2023DUKE,2023ORALROBERTS,23.0
2023TENNESSEE,2023LOUISIANALAFAYETTE,3.0
