TEAM,SEED
2024CONNECTICUT,1
2024STETSON,16
2024NORTHCAROLINA,1
2024HOWARD,16
2024WAGNER,16
2024HOUSTON,1
2024LONGWOOD,16
2024PURDUE,1
2024MONTANAST,16
2024GRAMBLINGST,16
2024IOWAST,2
2024SOUTHDAKOTAST,15
2024ARIZONA,2
2024LONGBEACHST,15
2024MARQUETTE,2
2024WESTERNKENTUCKY,15
2024TENNESSEE,2
2024SAINTPETERS,15
2024ILLINOIS,3
2024MOREHEADST,14
2024BAYLOR,3
2024COLGATE,14
2024KENTUCKY,3
2024OAKLAND,14
2024CREIGHTON,3
2024AKRON,14
2024AUBURN,4
2024YALE,13
2024ALABAMA,4
2024COLLEGEOFCHARLESTON,13
2024DUKE,4
2024VERMONT,13
2024KANSAS,4
2024SAMFORD,13
2024SANDIEGOST,5
2024UAB,12
2024SAINTMARYS,5
2024GRANDCANYON,12
2024WISCONSIN,5
2024JAMESMADISON,12
2024GONZAGA,5
2024MCNEESEST,12
2024BYU,6
2024DUQUESNE,11
2024CLEMSON,6
2024NEWMEXICO,11
2024TEXASTECH,6
2024NORTHCAROLINAST,11
2024SOUTHCAROLINA,6
2024OREGON,11
2024WASHINGTONST,7
2024DRAKE,10
2024DAYTON,7
2024NEVADA,10
2024FLORIDA,7
2024BOISEST,10
2024COLORADO,10
2024TEXAS,7
2024VIRGINIA,10
2024COLORADOST,10
2024FLORIDAATLANTIC,8
2024NORTHWESTERN,9
2024MISSISSIPPIST,8
2024MICHIGANST,9
2024NEBRASKA,8
2024TEXASAM,9
2024UTAHST,8
2024TCU,9
2023ALABAMA,1
2023TEXASAMCORPUSCHRIS,16
2023MARYLAND,8
2023WESTVIRGINIA,9
2023SANDIEGOST,5
2023COLLEGEOFCHARLESTON,12
2023VIRGINIA,4
2023FURMAN,13
2023CREIGHTON,6
2023NORTHCAROLINAST,11
2023BAYLOR,3
2023UCSANTABARBARA,14
2023MISSOURI,7
2023UTAHST,10
2023ARIZONA,2
2023PRINCETON,15
2023PURDUE,1
2023FAIRLEIGHDICKINSON,16
2023MEMPHIS,8
2023FLORIDAATLANTIC,9
2023DUKE,5
2023ORALROBERTS,12
2023TENNESSEE,4
2023LOUISIANALAFAYETTE,13
2023KENTUCKY,6
2023PROVIDENCE,11
2023KANSASST,3
2023MONTANAST,14
2023MICHIGANST,7
2023USC,10
2023MARQUETTE,2
2023VERMONT,15
2023HOUSTON,1
2023NORTHERNKENTUCKY,16
2023IOWA,8
2023AUBURN,9
2023MIAMIFL,5
2023DRAKE,12
2023INDIANA,4
2023KENTST,13
2023IOWAST,6
2023PITTSBURGH,11
2023XAVIER,3
2023KENNESAWST,14
2023TEXASAM,7
2023PENNST,10
2023TEXAS,2
2023COLGATE,15
2023KANSAS,1
2023HOWARD,16
2023ARKANSAS,8
2023ILLINOIS,9
2023SAINTMARYS,5
2023VCU,12
2023CONNECTICUT,4
2023IONA,13
2023TCU,6
2023ARIZONAST,11
2023GONZAGA,3
2023GRANDCANYON,14
2023NORTHWESTERN,7
2023BOISEST,10
2023UCLA,2
2023UNCASHEVILLE,15
2022GONZAGA,1
