Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,GP_Opp,MPG_Opp,PPG_Opp,FGM_Opp,FGA_Opp,FG%_Opp,3PM_Opp,3PA_Opp,3P%_Opp,FTM_Opp,FTA_Opp,FT%_Opp,ORB_Opp,DRB_Opp,RPG_Opp,APG_Opp,SPG_Opp,BPG_Opp,TOV_Opp,PF_Opp
2014VIRGINIAMILITARY,35,40.9,88.3,31.1,69.7,.446,8.9,27.5,.325,17.1,24.1,.713,13.5,26.3,39.9,14.0,7.3,6.2,10.6,18.9,35,40.9,82.6,29.8,67.9,.439,6.3,18.7,.337,16.7,23.6,.707,13.7,27.5,41.2,13.6,5.6,3.9,13.0,19.3
2014NORTHWESTERNST,31,40.6,86.6,30.9,65.7,.470,5.7,17.0,.333,19.2,25.9,.741,12.2,24.7,36.9,16.5,8.7,5.3,13.5,20.5,31,40.6,83.8,29.3,64.6,.454,7.3,21.0,.348,17.9,26.7,.670,14.0,25.5,39.5,16.1,6.7,3.6,16.3,21.2
2014BYU,35,40.7,83.7,28.9,62.5,.463,5.1,14.3,.355,20.9,30.1,.692,12.4,27.1,39.5,15.5,7.2,2.9,11.3,19.7,35,40.7,77.3,26.7,62.1,.430,7.4,21.8,.339,16.5,23.1,.712,10.6,24.1,34.7,14.7,6.1,4.2,12.5,22.9
2014IONA,33,40.2,83.6,28.7,58.9,.487,10.2,25.8,.396,16.0,22.4,.714,8.3,23.5,31.8,17.5,6.6,3.7,10.6,17.7,33,40.2,77.6,29.1,64.0,.454,6.6,19.4,.341,12.8,18.8,.684,12.8,24.3,37.1,14.5,4.8,3.5,11.8,17.7
2014IOWAST,36,40.7,83.0,29.5,62.2,.474,8.4,23.3,.358,15.7,22.6,.693,9.9,27.6,37.6,18.4,5.9,2.9,10.6,17.3,36,40.7,74.4,26.5,63.1,.420,7.2,21.1,.341,14.2,19.4,.732,10.4,25.1,35.5,13.2,5.5,3.4,11.5,19.4
2014SOUTHEASTMISSOURIST,32,40.6,82.9,30.0,60.1,.499,6.8,19.0,.359,16.1,23.2,.692,10.7,25.3,36.0,16.7,7.1,4.3,13.1,20.0,32,40.6,78.6,26.2,58.8,.446,7.6,20.4,.373,18.5,25.1,.738,9.8,22.4,32.2,13.4,6.8,2.3,12.0,19.6
2014OKLAHOMA,33,40.5,81.9,27.5,61.6,.447,8.6,22.8,.379,18.2,24.3,.749,11.4,25.1,36.5,14.6,6.8,3.3,11.5,18.9,33,40.5,76.0,26.2,59.9,.437,7.2,20.9,.342,16.5,23.1,.715,10.3,24.5,34.8,12.5,5.9,3.4,12.8,20.8
2014OREGON,34,40.7,81.9,27.3,58.1,.469,7.6,19.6,.389,19.6,25.4,.772,9.7,23.1,32.8,14.5,7.7,3.3,11.5,21.3,34,40.7,74.1,24.6,56.1,.439,5.8,18.0,.324,19.0,26.8,.709,10.2,21.7,31.9,12.4,4.9,3.7,13.6,20.4
2014INCARNATEWORD,27,40.2,81.9,28.5,58.4,.489,7.5,19.2,.391,17.3,25.3,.683,10.4,27.9,38.3,15.7,6.3,4.2,13.6,17.7,27,40.2,71.5,25.1,62.4,.403,6.5,19.1,.340,14.7,21.0,.700,11.1,22.9,34.0,12.7,7.3,3.3,13.1,20.9
2014IOWA,33,40.6,81.5,27.8,60.1,.463,5.8,16.5,.350,20.0,27.2,.735,12.8,26.5,39.2,16.1,7.1,5.0,11.3,18.2,33,40.6,70.3,24.4,58.7,.415,6.9,21.9,.317,14.7,20.8,.706,10.2,21.9,32.2,12.8,6.3,3.4,12.6,21.7
2014COLLEGEOFCHARLESTONSOUTHERN,31,40.8,81.4,27.7,60.5,.458,9.7,25.5,.383,16.2,22.3,.728,11.4,25.1,36.4,13.7,6.5,2.8,10.7,18.2,31,40.8,72.3,24.7,57.2,.433,7.8,20.2,.386,15.0,21.6,.697,9.7,23.9,33.7,12.4,5.2,4.0,12.7,18.0
2014UCLA,37,40.3,81.2,29.0,59.4,.489,6.2,16.3,.380,17.0,22.7,.749,9.2,24.9,34.2,17.2,9.2,3.0,10.2,17.6,37,40.3,70.4,24.3,56.8,.427,8.1,23.6,.344,13.7,20.3,.676,9.4,22.8,32.2,13.8,5.2,2.7,14.2,18.4
2014LOUISIANATECH,37,40.1,81.0,27.9,61.7,.453,7.7,23.5,.329,17.4,25.6,.679,12.3,25.6,37.9,15.7,9.2,5.1,11.7,19.1,37,40.1,66.5,23.5,56.7,.415,4.9,15.6,.312,14.5,21.8,.667,10.6,24.4,35.1,10.2,5.5,3.4,16.2,20.5
2014LOUISVILLE,37,40.0,81.0,28.4,60.3,.471,7.8,21.2,.368,16.4,24.9,.661,13.1,23.6,36.7,15.4,10.0,4.7,10.6,19.5,37,40.0,61.1,21.2,53.6,.396,4.6,16.1,.286,14.0,20.6,.681,11.2,22.5,33.7,10.5,4.6,2.8,17.1,20.4
2014LOUISIANA,35,40.8,81.0,28.2,60.8,.465,7.0,19.1,.367,17.5,26.1,.671,13.2,23.9,37.0,13.5,7.1,4.1,13.4,20.9,35,40.9,75.2,25.9,58.1,.446,5.9,17.5,.334,17.5,25.3,.694,10.8,22.7,33.5,11.8,6.1,5.3,13.7,21.2
2014OKLAHOMAST,34,40.9,80.2,26.4,57.1,.463,7.0,19.3,.364,20.4,28.4,.719,9.4,25.0,34.4,13.6,7.6,4.7,10.4,20.0,34,40.9,69.6,23.6,57.6,.409,6.2,19.0,.327,16.2,23.6,.687,11.4,24.5,35.9,11.0,6.1,3.6,14.2,21.6
2014ARKANSAS,34,40.6,80.1,27.3,61.9,.441,7.4,20.5,.362,18.1,24.9,.726,11.2,23.4,34.6,15.3,8.4,5.6,11.5,20.7,34,40.6,71.3,23.8,58.3,.408,6.3,18.1,.346,17.5,25.1,.697,13.0,24.9,37.9,11.5,5.4,3.1,16.6,20.2
2014HAWAII,31,40.5,80.0,27.9,59.0,.473,5.7,17.0,.335,18.4,25.5,.722,12.0,22.8,34.8,14.1,6.1,3.5,11.8,19.4,31,40.5,73.2,25.3,56.5,.447,6.4,18.9,.336,16.4,22.5,.727,9.7,20.3,30.0,12.0,5.5,3.7,13.3,20.3
2014OMAHA,32,40.3,79.9,27.7,61.5,.450,6.8,20.3,.337,17.8,23.3,.765,10.0,23.3,33.3,15.4,8.3,2.7,12.6,18.6,32,40.3,75.1,27.0,58.9,.458,5.9,17.6,.335,15.3,21.1,.724,10.2,24.8,35.0,13.6,6.7,3.8,15.9,19.1
2014BELMONT,36,40.0,79.9,27.3,54.8,.498,9.0,22.9,.392,16.3,22.1,.739,8.3,22.0,30.3,15.9,6.9,2.4,12.9,20.4,36,40.0,73.9,25.4,55.3,.460,6.9,19.7,.350,16.3,23.3,.697,10.4,20.9,31.3,12.8,7.2,3.1,14.4,20.5
2014DELAWARE,35,40.1,79.5,26.7,60.2,.444,7.2,20.8,.347,18.8,26.4,.711,10.4,24.2,34.6,10.8,5.9,3.5,9.5,18.9,35,40.1,75.7,26.7,60.4,.443,6.3,19.1,.327,15.9,22.9,.694,11.6,26.1,37.7,11.8,4.9,3.8,12.0,21.0
2014TOLEDO,34,40.3,79.2,27.3,58.7,.466,5.7,16.5,.345,18.9,26.1,.725,11.5,22.8,34.3,14.9,6.8,3.0,10.2,17.4,34,40.3,73.2,26.4,57.2,.461,6.8,19.4,.352,13.6,19.6,.697,9.9,21.8,31.8,13.3,5.4,3.8,13.4,21.4
2014KANSAS,35,40.3,79.0,27.3,55.3,.493,5.4,15.9,.340,19.0,26.7,.711,11.1,25.9,37.1,14.9,5.8,5.6,13.3,20.9,35,40.3,70.1,23.3,56.0,.416,6.3,17.6,.355,17.3,25.5,.678,10.0,19.5,29.5,11.9,6.6,3.2,11.1,21.2
2014QUINNIPIAC,32,40.3,78.8,26.1,61.5,.424,5.4,15.2,.357,21.2,29.6,.716,15.7,28.0,43.7,12.6,3.6,4.6,12.5,19.5,32,40.3,76.5,27.2,62.9,.431,6.2,17.8,.347,16.0,22.8,.703,10.1,22.2,32.3,12.5,5.9,4.7,8.7,23.2
2014MERCER,36,41.4,78.8,27.3,57.3,.476,8.1,21.0,.384,16.2,22.0,.736,10.7,25.2,35.9,16.3,5.9,4.1,11.8,18.4,36,41.4,66.9,22.6,56.2,.401,6.6,21.7,.303,15.3,21.9,.699,10.3,21.2,31.5,11.9,5.6,3.0,12.7,19.3
2014CREIGHTON,35,40.0,78.7,27.3,55.1,.497,10.2,24.5,.414,13.9,18.7,.743,8.0,24.9,32.9,17.5,4.0,1.4,9.8,17.7,35,40.0,67.9,24.1,56.7,.425,6.7,19.6,.341,13.0,18.7,.694,9.4,21.4,30.8,12.2,4.8,2.8,9.7,18.5
2014EASTERNKENTUCKY,34,40.1,78.7,25.9,53.2,.487,9.3,23.7,.390,17.6,23.5,.752,6.6,18.2,24.8,14.6,8.8,2.0,10.6,20.8,34,40.1,70.9,23.3,48.0,.486,6.0,17.0,.354,18.3,25.9,.706,9.0,22.6,31.6,13.4,5.4,3.3,16.9,19.7
2014DAVIDSON,33,40.6,78.5,27.2,56.9,.477,8.3,22.0,.376,15.9,22.3,.716,8.9,22.5,31.5,13.7,5.4,1.8,11.5,20.2,33,40.6,72.8,25.3,54.0,.468,5.1,14.3,.353,17.2,24.4,.705,8.7,22.9,31.6,10.8,5.7,3.3,12.5,20.5
2014DUKE,35,40.1,78.4,26.5,57.7,.460,9.0,22.9,.395,16.3,22.4,.729,11.5,22.0,33.5,14.5,7.0,3.0,9.5,19.4,35,40.1,67.4,24.2,53.1,.456,3.9,12.8,.307,15.0,21.7,.693,9.5,21.7,31.3,10.9,5.0,3.3,12.2,18.7
2014CANISIUS,34,40.9,78.3,26.9,58.5,.459,8.0,20.6,.386,16.6,22.4,.740,10.5,21.4,31.9,12.5,6.9,3.8,11.6,18.0,34,40.9,75.6,26.7,58.8,.455,7.0,20.9,.337,15.1,20.8,.727,12.3,22.8,35.1,15.4,6.0,2.7,13.3,19.3
2014RADFORD,35,40.1,78.0,27.8,58.1,.478,6.3,17.4,.362,16.1,23.4,.688,10.5,22.6,33.1,13.1,7.1,3.7,11.0,18.9,35,40.1,74.3,26.4,56.9,.464,6.2,16.4,.379,15.2,21.8,.699,10.2,22.3,32.5,11.9,5.5,2.9,12.7,19.0
2014VILLANOVA,34,40.7,78.0,25.6,56.1,.456,8.9,25.1,.356,17.9,24.9,.716,10.9,25.7,36.5,15.4,6.9,4.1,11.9,19.7,34,40.7,66.5,22.4,55.5,.405,6.5,18.3,.353,15.1,21.4,.707,9.5,22.1,31.5,12.1,5.7,2.3,13.6,20.3
2014MURRAYST,34,40.3,77.9,26.5,55.8,.475,7.4,19.7,.376,17.4,26.0,.672,11.1,24.0,35.1,13.1,6.0,4.4,12.4,18.4,34,40.3,71.9,26.4,59.2,.445,5.4,16.9,.322,13.8,20.6,.671,11.5,21.6,33.1,12.1,6.1,3.1,11.7,20.6
2014UNCASHEVILLE,32,40.3,77.7,26.1,57.3,.456,7.0,18.8,.371,18.5,24.8,.745,11.6,25.2,36.8,12.6,6.5,6.0,13.7,19.1,32,40.3,75.8,26.2,59.9,.437,6.7,19.1,.351,16.7,24.2,.690,12.0,21.5,33.5,13.8,7.0,3.9,12.3,20.0
2014GEORGIAST,34,40.6,77.7,26.5,56.6,.468,7.4,19.8,.375,17.3,22.3,.778,7.8,22.8,30.6,13.3,7.6,4.9,8.1,17.3,34,40.6,68.5,23.6,56.1,.421,7.9,23.1,.341,13.4,19.7,.679,11.2,23.4,34.7,12.4,4.2,2.7,13.1,18.7
2014WESTVIRGINIA,33,40.3,77.2,26.2,59.8,.439,7.8,20.5,.381,16.8,23.4,.721,11.4,23.1,34.4,13.1,6.2,3.0,9.8,20.7,33,40.3,73.4,25.4,56.8,.447,6.7,19.3,.345,16.0,23.6,.677,10.8,24.3,35.0,13.2,4.7,4.1,12.8,20.3
2014FORTWAYNE,36,40.1,77.1,27.1,55.0,.493,7.9,20.2,.393,15.0,22.6,.663,9.7,22.7,32.4,14.6,6.8,2.5,12.2,16.7,36,40.1,71.0,26.0,56.1,.464,6.3,18.0,.352,12.6,17.4,.721,8.2,20.5,28.7,12.4,5.7,2.9,12.1,19.3
2014NEWMEXICOST,36,40.4,77.0,26.0,53.3,.488,5.4,14.5,.371,19.6,28.6,.687,11.3,24.7,36.0,13.1,4.7,6.2,12.7,17.1,36,40.4,67.1,24.0,59.8,.401,4.5,13.6,.330,14.6,20.0,.732,11.5,19.3,30.8,9.4,5.6,2.6,11.0,22.4
